Timestamp,NIFTY_LTP,ATM_Strike,Expiry,Option,LTP,IV,Delta,Gamma,Theta,Vega,Rho,OI,OI_Change,Volume
2025-12-29 10:55:30,26007.85,26000,2025-12-30,CE,60.0,8.67,0.5520,0.003100,-21.3915,5.8778,0.4849,23818575,12644275,128610600
2025-12-29 10:55:30,26007.85,26000,2025-12-30,PE,42.2,8.45,-0.4468,0.003100,-20.8554,5.8753,-0.4119,25782450,10827025,228746250
2025-12-29 10:55:36,26007.7,26000,2025-12-30,CE,59.7,8.36,0.5646,0.003200,-20.5454,5.8508,0.4859,23818575,12644275,128739525
2025-12-29 10:55:36,26007.7,26000,2025-12-30,PE,42.6,8.70,-0.4378,0.003000,-21.3910,5.8565,-0.4134,25782450,10827025,228929175
2025-12-29 10:55:41,26008.9,26000,2025-12-30,CE,60.0,8.35,0.5628,0.003200,-20.5229,5.8547,0.4892,24102300,12928000,128801250
2025-12-29 10:55:41,26008.9,26000,2025-12-30,PE,42.35,8.73,-0.4398,0.003000,-21.4831,5.8608,-0.4103,26057400,11101975,229007325
2025-12-29 10:55:47,26007.75,26000,2025-12-30,CE,60.05,8.48,0.5590,0.003100,-20.8911,5.8630,0.4854,24102300,12928000,128865750
2025-12-29 10:55:47,26007.75,26000,2025-12-30,PE,42.3,8.61,-0.4418,0.003100,-21.1980,5.8648,-0.4128,26057400,11101975,229061475
2025-12-29 10:55:52,26007.75,26000,2025-12-30,CE,60.0,8.53,0.5578,0.003100,-21.0138,5.8655,0.4852,24102300,12928000,128920050
2025-12-29 10:55:52,26007.75,26000,2025-12-30,PE,42.3,8.58,-0.4425,0.003100,-21.1288,5.8662,-0.4127,26057400,11101975,229113450
2025-12-29 10:55:57,26007.0,26000,2025-12-30,CE,59.75,8.48,0.5590,0.003100,-20.8921,5.8627,0.4833,24102300,12928000,128970000
2025-12-29 10:55:57,26007.0,26000,2025-12-30,PE,42.7,8.58,-0.4416,0.003100,-21.1223,5.8641,-0.4147,26057400,11101975,229192500
2025-12-29 10:56:03,26005.3,26000,2025-12-30,CE,59.7,8.45,0.5592,0.003100,-20.8158,5.8622,0.4787,24102300,12928000,129027825
2025-12-29 10:56:03,26005.3,26000,2025-12-30,PE,42.6,8.62,-0.4419,0.003100,-21.2379,5.8646,-0.4194,26057400,11101975,229263750
2025-12-29 10:56:08,26004.5,26000,2025-12-30,CE,59.3,8.47,0.5579,0.003100,-20.8642,5.8649,0.4764,24102300,12928000,129129300
2025-12-29 10:56:08,26004.5,26000,2025-12-30,PE,43.0,8.62,-0.4431,0.003100,-21.2477,5.8670,-0.4216,26057400,11101975,229423050
2025-12-29 10:56:14,26005.35,26000,2025-12-30,CE,59.45,8.30,0.5622,0.003200,-20.4181,5.8553,0.4794,24102300,12928000,129225150
2025-12-29 10:56:14,26005.35,26000,2025-12-30,PE,42.85,8.77,-0.4410,0.003000,-21.6085,5.8626,-0.4198,26057400,11101975,229657725
2025-12-29 10:56:19,26006.6,26000,2025-12-30,CE,59.7,8.51,0.5544,0.003100,-21.0028,5.8715,0.4820,24102300,12928000,129269925
2025-12-29 10:56:19,26006.6,26000,2025-12-30,PE,42.8,8.59,-0.4460,0.003100,-21.1944,5.8725,-0.4157,26057400,11101975,229757025
2025-12-29 10:56:24,26005.55,26000,2025-12-30,CE,59.75,8.47,0.5579,0.003100,-20.8657,5.8644,0.4792,24102300,12928000,129318600
2025-12-29 10:56:24,26005.55,26000,2025-12-30,PE,42.7,8.65,-0.4433,0.003100,-21.3259,5.8670,-0.4188,26057400,11101975,229890900
2025-12-29 10:56:30,26006.45,26000,2025-12-30,CE,59.85,8.51,0.5566,0.003100,-20.9882,5.8669,0.4815,24102300,12928000,129352650
2025-12-29 10:56:30,26006.45,26000,2025-12-30,PE,42.65,8.62,-0.4441,0.003100,-21.2566,5.8683,-0.4162,26057400,11101975,229951725
2025-12-29 10:56:35,26006.5,26000,2025-12-30,CE,59.95,8.51,0.5576,0.003100,-20.9822,5.8647,0.4816,24102300,12928000,129432450
2025-12-29 10:56:35,26006.5,26000,2025-12-30,PE,42.6,8.61,-0.4430,0.003100,-21.2124,5.8659,-0.4160,26057400,11101975,230113275
2025-12-29 10:56:41,26006.35,26000,2025-12-30,CE,59.9,8.61,0.5539,0.003100,-21.2353,5.8719,0.4808,24102300,12928000,129463575
2025-12-29 10:56:41,26006.35,26000,2025-12-30,PE,42.6,8.56,-0.4458,0.003100,-21.1203,5.8714,-0.4162,26057400,11101975,230148900
2025-12-29 10:56:46,26005.3,26000,2025-12-30,CE,59.8,8.61,0.5542,0.003100,-21.2336,5.8712,0.4779,24102300,12928000,129551400
2025-12-29 10:56:46,26005.3,26000,2025-12-30,PE,42.65,8.54,-0.4454,0.003100,-21.0803,5.8705,-0.4190,26057400,11101975,230201175
2025-12-29 10:56:52,26006.0,26000,2025-12-30,CE,59.9,8.48,0.5578,0.003100,-20.9070,5.8638,0.4803,24102300,12928000,129650250
2025-12-29 10:56:52,26006.0,26000,2025-12-30,PE,42.6,8.67,-0.4434,0.003100,-21.3673,5.8663,-0.4175,26057400,11101975,230348175
2025-12-29 10:56:57,26007.45,26000,2025-12-30,CE,60.2,8.51,0.5576,0.003100,-20.9843,5.8641,0.4841,24102300,12928000,129677625
2025-12-29 10:56:57,26007.45,26000,2025-12-30,PE,42.3,8.62,-0.4431,0.003100,-21.2528,5.8655,-0.4134,26057400,11101975,230397750
2025-12-29 10:57:03,26007.55,26000,2025-12-30,CE,60.9,8.61,0.5545,0.003100,-21.2329,5.8702,0.4840,24102300,12928000,129881325
2025-12-29 10:57:03,26007.55,26000,2025-12-30,PE,41.35,8.54,-0.4451,0.003100,-21.0796,5.8694,-0.4128,26057400,11101975,230714550
2025-12-29 10:57:08,26008.6,26000,2025-12-30,CE,60.75,8.64,0.5580,0.003100,-21.2830,5.8629,0.4866,24102300,12928000,130017825
2025-12-29 10:57:08,26008.6,26000,2025-12-30,PE,41.5,8.44,-0.4407,0.003100,-20.7839,5.8600,-0.4094,26057400,11101975,230927025
2025-12-29 10:57:14,26008.6,26000,2025-12-30,CE,60.75,8.61,0.5582,0.003100,-21.2067,5.8623,0.4867,24102300,12928000,130106100
2025-12-29 10:57:14,26008.6,26000,2025-12-30,PE,41.5,8.44,-0.4407,0.003100,-20.7839,5.8600,-0.4094,26057400,11101975,231054450
2025-12-29 10:57:19,26009.85,26000,2025-12-30,CE,60.5,8.67,0.5560,0.003100,-21.3745,5.8668,0.4898,24102300,12928000,130189650
2025-12-29 10:57:19,26009.85,26000,2025-12-30,PE,41.7,8.42,-0.4425,0.003200,-20.7607,5.8635,-0.4058,26057400,11101975,231266400
2025-12-29 10:57:24,26008.8,26000,2025-12-30,CE,60.2,8.45,0.5633,0.003100,-20.7916,5.8508,0.4880,24102300,12928000,130284600
2025-12-29 10:57:24,26008.8,26000,2025-12-30,PE,42.1,8.61,-0.4378,0.003100,-21.1761,5.8533,-0.4096,26057400,11101975,231394650
2025-12-29 10:57:30,26006.95,26000,2025-12-30,CE,60.25,8.39,0.5638,0.003200,-20.6383,5.8496,0.4831,24102300,12928000,130395375
2025-12-29 10:57:30,26006.95,26000,2025-12-30,PE,42.15,8.67,-0.4382,0.003100,-21.3303,5.8541,-0.4148,26057400,11101975,231495000
2025-12-29 10:57:35,26009.75,26000,2025-12-30,CE,60.5,8.76,0.5500,0.003000,-21.6442,5.8779,0.4890,24102300,12928000,130434675
2025-12-29 10:57:35,26009.75,26000,2025-12-30,PE,41.65,8.39,-0.4480,0.003200,-20.7252,5.8739,-0.4059,26057400,11101975,231557775
2025-12-29 10:57:41,26009.2,26000,2025-12-30,CE,60.25,8.73,0.5538,0.003000,-21.5436,5.8705,0.4877,24102300,12928000,130566750
2025-12-29 10:57:41,26009.2,26000,2025-12-30,PE,42.0,8.39,-0.4442,0.003200,-20.7001,5.8663,-0.4074,26057400,11101975,231721125
2025-12-29 10:57:46,26007.15,26000,2025-12-30,CE,60.0,8.58,0.5572,0.003100,-21.1428,5.8635,0.4828,24102300,12928000,130620825
2025-12-29 10:57:46,26007.15,26000,2025-12-30,PE,42.2,8.53,-0.4425,0.003100,-21.0276,5.8628,-0.4136,26057400,11101975,231808575
2025-12-29 10:57:51,26008.35,26000,2025-12-30,CE,60.0,8.56,0.5564,0.003100,-21.1118,5.8650,0.4861,24102300,12928000,130660575
2025-12-29 10:57:51,26008.35,26000,2025-12-30,PE,42.3,8.54,-0.4435,0.003100,-21.0734,5.8648,-0.4104,26057400,11101975,231885375
2025-12-29 10:57:57,26006.6,26000,2025-12-30,CE,60.0,8.67,0.5520,0.003100,-21.4068,5.8734,0.4809,24102300,12928000,130715625
2025-12-29 10:57:57,26006.6,26000,2025-12-30,PE,42.25,8.47,-0.4468,0.003100,-20.9087,5.8711,-0.4148,26057400,11101975,231949650
2025-12-29 10:58:02,26006.5,26000,2025-12-30,CE,60.05,8.64,0.5534,0.003100,-21.3222,5.8706,0.4807,24102300,12928000,130764675
